Dataset,Frame,Synthesized.View,p1,p2,p3
ClassroomVideo,20,1,3,0,0
ClassroomVideo,20,2,3,0,0
ClassroomVideo,20,3,3,0,0
ClassroomVideo,20,4,3,0,0
ClassroomVideo,20,5,3,0,0
ClassroomVideo,20,6,3,0,0
ClassroomVideo,20,9,3,0,0
ClassroomVideo,20,14,3,0,0
ClassroomVideo,40,1,3,0,0
ClassroomVideo,40,2,3,0,0
ClassroomVideo,40,3,3,0,0
ClassroomVideo,40,4,3,0,0
ClassroomVideo,40,5,3,0,0
ClassroomVideo,40,6,3,0,0
ClassroomVideo,40,9,3,0,0
ClassroomVideo,40,14,3,0,0
ClassroomVideo,60,1,3,0,0
ClassroomVideo,60,2,3,0,0
ClassroomVideo,60,3,3,0,0
ClassroomVideo,60,4,3,0,0
ClassroomVideo,60,5,3,0,0
ClassroomVideo,60,6,3,0,0
ClassroomVideo,60,9,3,0,0
ClassroomVideo,60,14,3,0,0
ClassroomVideo,80,1,3,0,0
ClassroomVideo,80,2,3,0,0
ClassroomVideo,80,3,3,0,0
ClassroomVideo,80,4,3,0,0
ClassroomVideo,80,5,3,0,0
ClassroomVideo,80,6,3,0,0
ClassroomVideo,80,9,3,0,0
ClassroomVideo,80,14,3,0,0
ClassroomVideo,100,1,3,0,0
ClassroomVideo,100,2,3,0,0
ClassroomVideo,100,3,3,0,0
ClassroomVideo,100,4,3,0,0
ClassroomVideo,100,5,3,0,0
ClassroomVideo,100,6,3,0,0
ClassroomVideo,100,9,3,0,0
ClassroomVideo,100,14,3,0,0
TechnicolorMuseum,50,2,4,0,0
TechnicolorMuseum,50,3,4,0,0
TechnicolorMuseum,50,5,4,0,0
TechnicolorMuseum,50,6,4,0,0
TechnicolorMuseum,50,7,4,0,0
TechnicolorMuseum,50,8,4,0,0
TechnicolorMuseum,50,9,4,0,0
TechnicolorMuseum,50,10,4,0,0
TechnicolorMuseum,50,14,4,0,0
TechnicolorMuseum,50,15,4,0,0
TechnicolorMuseum,50,16,4,0,0
TechnicolorMuseum,50,18,4,0,0
TechnicolorMuseum,50,19,5,0,0
TechnicolorMuseum,50,20,5,0,0
TechnicolorMuseum,50,21,4,0,0
TechnicolorMuseum,50,22,4,0,0
TechnicolorMuseum,50,23,4,0,0
TechnicolorMuseum,100,2,4,0,0
TechnicolorMuseum,100,3,4,0,0
TechnicolorMuseum,100,5,4,0,0
TechnicolorMuseum,100,6,4,0,0
TechnicolorMuseum,100,7,4,0,0
TechnicolorMuseum,100,8,4,0,0
TechnicolorMuseum,100,9,4,0,0
TechnicolorMuseum,100,10,4,0,0
TechnicolorMuseum,100,14,4,0,0
TechnicolorMuseum,100,15,4,0,0
