Dataset,Frame,Synthesized.View,p1,p2,p3
ClassroomVideo,20,1,3,0,0
ClassroomVideo,20,2,3,0,0
ClassroomVideo,20,3,3,0,0
ClassroomVideo,20,4,3,0,0
ClassroomVideo,20,5,3,0,0
ClassroomVideo,40,1,3,0,0
ClassroomVideo,40,2,3,0,0
ClassroomVideo,40,3,3,0,0
ClassroomVideo,40,4,3,0,0
ClassroomVideo,40,5,3,0,0
ClassroomVideo,60,1,3,0,0
ClassroomVideo,60,2,3,0,0
ClassroomVideo,60,3,3,0,0
ClassroomVideo,60,4,3,0,0
ClassroomVideo,60,5,3,0,0
ClassroomVideo,80,1,3,0,0
ClassroomVideo,80,2,3,0,0
ClassroomVideo,80,3,3,0,0
ClassroomVideo,80,4,3,0,0
ClassroomVideo,80,5,3,0,0
ClassroomVideo,100,1,3,0,0
ClassroomVideo,100,2,3,0,0
ClassroomVideo,100,3,3,0,0
ClassroomVideo,100,4,3,0,0
ClassroomVideo,100,5,3,0,0
TechnicolorMuseum,50,1,4,0,0
TechnicolorMuseum,50,2,4,0,0
TechnicolorMuseum,50,3,4,0,0
TechnicolorMuseum,50,4,4,0,0
TechnicolorMuseum,50,5,4,0,0
TechnicolorMuseum,100,1,4,0,0
TechnicolorMuseum,100,2,4,0,0
TechnicolorMuseum,100,3,4,0,0
TechnicolorMuseum,100,4,4,0,0
TechnicolorMuseum,100,5,4,0,0
TechnicolorMuseum,150,1,4,0,0
TechnicolorMuseum,150,2,4,0,0
TechnicolorMuseum,150,3,4,0,0
TechnicolorMuseum,150,4,4,0,0
TechnicolorMuseum,150,5,4,0,0
TechnicolorMuseum,200,1,4,0,0
TechnicolorMuseum,200,2,4,0,0
TechnicolorMuseum,200,3,4,0,0
TechnicolorMuseum,200,4,4,0,0
TechnicolorMuseum,200,5,4,0,0
TechnicolorMuseum,250,1,4,0,0
TechnicolorMuseum,250,2,4,0,0
TechnicolorMuseum,250,3,4,0,0
TechnicolorMuseum,250,4,4,0,0
TechnicolorMuseum,250,5,4,0,0
TechnicolorHijack,50,1,3,0,0
TechnicolorHijack,50,2,3,0,0
TechnicolorHijack,50,3,3,0,0
TechnicolorHijack,50,4,3,0,0
TechnicolorHijack,50,5,3,0,0
TechnicolorHijack,100,1,3,0,0
TechnicolorHijack,100,2,3,0,0
TechnicolorHijack,100,3,3,0,0
TechnicolorHijack,100,4,3,0,0
TechnicolorHijack,100,5,3,0,0
TechnicolorHijack,150,1,3,0,0
TechnicolorHijack,150,2,3,0,0
TechnicolorHijack,150,3,3,0,0
TechnicolorHijack,150,4,3,0,0
TechnicolorHijack,150,5,3,0,0
TechnicolorHijack,200,1,3,0,0
TechnicolorHijack,200,2,3,0,0
TechnicolorHijack,200,3,3,0,0
TechnicolorHijack,200,4,3,0,0
TechnicolorHijack,200,5,3,0,0
TechnicolorHijack,250,1,3,0,0
TechnicolorHijack,250,2,3,0,0
TechnicolorHijack,250,3,3,0,0
TechnicolorHijack,250,4,3,0,0
TechnicolorHijack,250,5,3,0,0
