Dataset,Frame,Synthesized.View,p1,p2,p3
TechnicolorMuseum,50,2,6,0,0
TechnicolorMuseum,50,3,6,0,0
TechnicolorMuseum,50,5,6,0,0
TechnicolorMuseum,50,6,6,0,0
TechnicolorMuseum,50,7,6,0,0
TechnicolorMuseum,50,8,6,0,0
TechnicolorMuseum,50,9,6,0,0
TechnicolorMuseum,50,10,6,0,0
TechnicolorMuseum,50,14,6,0,0
TechnicolorMuseum,50,15,6,0,0
TechnicolorMuseum,50,16,6,0,0
TechnicolorMuseum,50,18,6,0,0
TechnicolorMuseum,50,19,6,0,0
TechnicolorMuseum,50,20,6,0,0
TechnicolorMuseum,50,21,6,0,0
TechnicolorMuseum,50,22,6,0,0
TechnicolorMuseum,50,23,6,0,0
TechnicolorMuseum,100,2,6,0,0
TechnicolorMuseum,100,3,6,0,0
TechnicolorMuseum,100,5,6,0,0
TechnicolorMuseum,100,6,6,0,0
TechnicolorMuseum,100,7,6,0,0
TechnicolorMuseum,100,8,6,0,0
TechnicolorMuseum,100,9,6,0,0
TechnicolorMuseum,100,10,6,0,0
TechnicolorMuseum,100,14,6,0,0
TechnicolorMuseum,100,15,6,0,0
TechnicolorMuseum,100,16,6,0,0
TechnicolorMuseum,100,18,6,0,0
TechnicolorMuseum,100,19,6,0,0
TechnicolorMuseum,100,20,6,0,0
TechnicolorMuseum,100,21,6,0,0
TechnicolorMuseum,100,22,6,0,0
TechnicolorMuseum,100,23,6,0,0
TechnicolorMuseum,150,2,6,0,0
TechnicolorMuseum,150,3,6,0,0
TechnicolorMuseum,150,5,6,0,0
TechnicolorMuseum,150,6,6,0,0
TechnicolorMuseum,150,7,6,0,0
TechnicolorMuseum,150,8,6,0,0
TechnicolorMuseum,150,9,6,0,0
TechnicolorMuseum,150,10,6,0,0
TechnicolorMuseum,150,14,6,0,0
TechnicolorMuseum,150,15,6,0,0
TechnicolorMuseum,150,16,6,0,0
TechnicolorMuseum,150,18,6,0,0
TechnicolorMuseum,150,19,6,0,0
TechnicolorMuseum,150,20,6,0,0
TechnicolorMuseum,150,21,6,0,0
TechnicolorMuseum,150,22,6,0,0
TechnicolorMuseum,150,23,6,0,0
TechnicolorMuseum,200,2,6,0,0
TechnicolorMuseum,200,3,6,0,0
TechnicolorMuseum,200,5,6,0,0
TechnicolorMuseum,200,6,6,0,0
TechnicolorMuseum,200,7,6,0,0
TechnicolorMuseum,200,8,6,0,0
TechnicolorMuseum,200,9,6,0,0
TechnicolorMuseum,200,10,6,0,0
TechnicolorMuseum,200,14,6,0,0
TechnicolorMuseum,200,15,6,0,0
TechnicolorMuseum,200,16,6,0,0
TechnicolorMuseum,200,18,6,0,0
TechnicolorMuseum,200,19,6,0,0
TechnicolorMuseum,200,20,6,0,0
TechnicolorMuseum,200,21,6,0,0
TechnicolorMuseum,200,22,6,0,0
TechnicolorMuseum,200,23,6,0,0
TechnicolorMuseum,250,2,6,0,0
TechnicolorMuseum,250,3,6,0,0
TechnicolorMuseum,250,5,6,0,0
TechnicolorMuseum,250,6,6,0,0
TechnicolorMuseum,250,7,6,0,0
TechnicolorMuseum,250,8,6,0,0
TechnicolorMuseum,250,9,6,0,0
TechnicolorMuseum,250,10,6,0,0
TechnicolorMuseum,250,14,6,0,0
TechnicolorMuseum,250,15,6,0,0
TechnicolorMuseum,250,16,6,0,0
TechnicolorMuseum,250,18,6,0,0
TechnicolorMuseum,250,19,6,0,0
TechnicolorMuseum,250,20,6,0,0
TechnicolorMuseum,250,21,6,0,0
TechnicolorMuseum,250,22,6,0,0
TechnicolorMuseum,250,23,6,0,0
ClassroomVideo,20,1,6,0,0
ClassroomVideo,20,2,6,0,0
ClassroomVideo,20,3,6,0,0
ClassroomVideo,20,4,6,0,0
ClassroomVideo,20,5,6,0,0
ClassroomVideo,20,6,6,0,0
ClassroomVideo,20,9,6,0,0
ClassroomVideo,20,14,4,0,0
ClassroomVideo,40,1,6,0,0
ClassroomVideo,40,2,6,0,0
ClassroomVideo,40,3,6,0,0
ClassroomVideo,40,4,6,0,0
ClassroomVideo,40,5,6,0,0
ClassroomVideo,40,6,6,0,0
ClassroomVideo,40,9,6,0,0
ClassroomVideo,40,14,6,0,0
ClassroomVideo,60,1,6,0,0
ClassroomVideo,60,2,6,0,0
ClassroomVideo,60,3,6,0,0
ClassroomVideo,60,4,6,0,0
ClassroomVideo,60,5,6,0,0
ClassroomVideo,60,6,6,0,0
ClassroomVideo,60,9,6,0,0
ClassroomVideo,60,14,6,0,0
ClassroomVideo,80,1,6,0,0
ClassroomVideo,80,2,6,0,0
ClassroomVideo,80,3,6,0,0
ClassroomVideo,80,4,6,0,0
ClassroomVideo,80,5,6,0,0
ClassroomVideo,80,6,6,0,0
ClassroomVideo,80,9,6,0,0
ClassroomVideo,80,14,6,0,0
ClassroomVideo,100,1,6,0,0
ClassroomVideo,100,2,6,0,0
ClassroomVideo,100,3,6,0,0
ClassroomVideo,100,4,6,0,0
ClassroomVideo,100,5,6,0,0
ClassroomVideo,100,6,6,0,0
ClassroomVideo,100,9,6,0,0
ClassroomVideo,100,14,6,0,0
TechnicolorHijack,50,0,4,0,0
TechnicolorHijack,50,6,4,0,0
TechnicolorHijack,50,7,4,0,0
TechnicolorHijack,100,0,4,0,0
TechnicolorHijack,100,6,4,0,0
TechnicolorHijack,100,7,4,0,0
TechnicolorHijack,150,0,4,0,0
TechnicolorHijack,150,6,4,0,0
TechnicolorHijack,150,7,4,0,0
TechnicolorHijack,200,0,4,0,0
TechnicolorHijack,200,6,4,0,0
TechnicolorHijack,200,7,4,0,0
TechnicolorHijack,250,0,4,0,0
TechnicolorHijack,250,6,4,0,0
TechnicolorHijack,250,7,4,0,0
