Dataset,Frame,Synthesized.View,p1,p2,p3
IntelFrog,50,2,2,0,0
IntelFrog,50,4,2,0,0
IntelFrog,50,6,2,0,0
IntelFrog,50,8,2,0,0
IntelFrog,50,10,2,0,0
IntelFrog,50,12,2,0,0
IntelFrog,100,2,2,0,0
IntelFrog,100,4,2,0,0
IntelFrog,100,6,2,0,0
IntelFrog,100,8,2,0,0
IntelFrog,100,10,2,0,0
IntelFrog,100,12,2,0,0
IntelFrog,150,2,2,0,0
IntelFrog,150,4,2,0,0
IntelFrog,150,6,2,0,0
IntelFrog,150,8,2,0,0
IntelFrog,150,10,2,0,0
IntelFrog,150,12,2,0,0
IntelFrog,200,2,2,0,0
IntelFrog,200,4,2,0,0
IntelFrog,200,6,2,0,0
IntelFrog,200,8,2,0,0
IntelFrog,200,10,2,0,0
IntelFrog,200,12,2,0,0
IntelFrog,250,2,2,0,0
IntelFrog,250,4,2,0,0
IntelFrog,250,6,2,0,0
IntelFrog,250,8,2,0,0
IntelFrog,250,10,2,0,0
IntelFrog,250,12,2,0,0
OrangeKitchen,16,01,2,0,0
OrangeKitchen,16,03,2,0,0
OrangeKitchen,16,04,2,0,0
OrangeKitchen,16,05,2,0,0
OrangeKitchen,16,06,2,0,0
OrangeKitchen,16,07,2,0,0
OrangeKitchen,16,08,2,0,0
OrangeKitchen,16,09,2,0,0
OrangeKitchen,16,11,2,0,0
OrangeKitchen,16,13,2,0,0
OrangeKitchen,16,15,2,0,0
OrangeKitchen,16,16,2,0,0
OrangeKitchen,16,17,2,0,0
OrangeKitchen,16,18,2,0,0
OrangeKitchen,16,19,2,0,0
OrangeKitchen,16,20,2,0,0
OrangeKitchen,16,21,2,0,0
OrangeKitchen,16,23,2,0,0
OrangeKitchen,32,01,2,0,0
OrangeKitchen,32,03,2,0,0
OrangeKitchen,32,04,2,0,0
OrangeKitchen,32,05,2,0,0
OrangeKitchen,32,06,2,0,0
OrangeKitchen,32,07,2,0,0
OrangeKitchen,32,08,2,0,0
OrangeKitchen,32,09,2,0,0
OrangeKitchen,32,11,2,0,0
OrangeKitchen,32,13,2,0,0
OrangeKitchen,32,15,2,0,0
OrangeKitchen,32,16,2,0,0
OrangeKitchen,32,17,2,0,0
OrangeKitchen,32,18,2,0,0
OrangeKitchen,32,19,2,0,0
OrangeKitchen,32,20,2,0,0
OrangeKitchen,32,21,2,0,0
OrangeKitchen,32,23,2,0,0
OrangeKitchen,48,01,2,0,0
OrangeKitchen,48,03,2,0,0
OrangeKitchen,48,04,2,0,0
OrangeKitchen,48,05,2,0,0
OrangeKitchen,48,06,2,0,0
OrangeKitchen,48,07,2,0,0
OrangeKitchen,48,08,2,0,0
OrangeKitchen,48,09,2,0,0
OrangeKitchen,48,11,2,0,0
OrangeKitchen,48,13,2,0,0
OrangeKitchen,48,15,2,0,0
OrangeKitchen,48,16,2,0,0
OrangeKitchen,48,17,2,0,0
OrangeKitchen,48,18,2,0,0
OrangeKitchen,48,19,2,0,0
OrangeKitchen,48,20,2,0,0
OrangeKitchen,48,21,2,0,0
OrangeKitchen,48,23,2,0,0
OrangeKitchen,54,01,2,0,0
OrangeKitchen,54,03,2,0,0
OrangeKitchen,54,04,2,0,0
OrangeKitchen,54,05,2,0,0
OrangeKitchen,54,06,2,0,0
OrangeKitchen,54,07,2,0,0
OrangeKitchen,54,08,2,0,0
OrangeKitchen,54,09,2,0,0
OrangeKitchen,54,11,2,0,0
