Dataset,Frame,Synthesized.View,p1,p2,p3
TechnicolorMuseum,50,24,5,0,0
TechnicolorMuseum,50,25,5,0,0
TechnicolorMuseum,50,26,5,0,0
TechnicolorMuseum,50,27,5,0,0
TechnicolorMuseum,50,28,5,0,0
TechnicolorMuseum,100,24,5,0,0
TechnicolorMuseum,100,25,5,0,0
TechnicolorMuseum,100,26,5,0,0
TechnicolorMuseum,100,27,5,0,0
TechnicolorMuseum,100,28,5,0,0
TechnicolorMuseum,150,24,5,0,0
TechnicolorMuseum,150,25,5,0,0
TechnicolorMuseum,150,26,5,0,0
TechnicolorMuseum,150,27,5,0,0
TechnicolorMuseum,150,28,5,0,0
TechnicolorMuseum,200,24,5,0,0
TechnicolorMuseum,200,25,5,0,0
TechnicolorMuseum,200,26,5,0,0
TechnicolorMuseum,200,27,5,0,0
TechnicolorMuseum,200,28,5,0,0
TechnicolorMuseum,250,24,5,0,0
TechnicolorMuseum,250,25,5,0,0
TechnicolorMuseum,250,26,5,0,0
TechnicolorMuseum,250,27,5,0,0
TechnicolorMuseum,250,28,5,0,0
ClassroomVideo,20,20,2,0,0
ClassroomVideo,20,21,4,0,0
ClassroomVideo,20,22,2,0,0
ClassroomVideo,20,23,2,4,0
ClassroomVideo,20,24,2,0,0
ClassroomVideo,40,20,2,0,0
ClassroomVideo,40,21,2,0,0
ClassroomVideo,40,22,2,0,0
ClassroomVideo,40,23,2,3,0
ClassroomVideo,40,24,2,0,0
ClassroomVideo,60,20,5,0,0
ClassroomVideo,60,21,5,0,0
ClassroomVideo,60,22,5,0,0
ClassroomVideo,60,23,5,0,0
ClassroomVideo,60,24,5,0,0
ClassroomVideo,80,20,5,0,0
ClassroomVideo,80,21,5,0,0
ClassroomVideo,80,22,5,0,0
ClassroomVideo,80,23,5,0,0
ClassroomVideo,80,24,5,0,0
ClassroomVideo,100,20,5,0,0
ClassroomVideo,100,21,5,0,0
ClassroomVideo,100,22,1,0,0
ClassroomVideo,100,23,5,0,0
ClassroomVideo,100,24,5,0,0
TechnicolorHijack,50,15,3,0,0
TechnicolorHijack,50,16,3,0,0
TechnicolorHijack,50,17,5,0,0
TechnicolorHijack,50,18,1,0,0
TechnicolorHijack,50,19,1,0,0
TechnicolorHijack,100,15,3,0,0
TechnicolorHijack,100,16,3,0,0
TechnicolorHijack,100,17,3,0,0
TechnicolorHijack,100,18,1,0,0
TechnicolorHijack,100,19,1,0,0
TechnicolorHijack,150,15,4,0,0
TechnicolorHijack,150,16,3,0,0
TechnicolorHijack,150,17,3,0,0
TechnicolorHijack,150,18,1,0,0
TechnicolorHijack,150,19,1,0,0
TechnicolorHijack,200,15,3,0,0
TechnicolorHijack,200,16,3,0,0
TechnicolorHijack,200,17,3,0,0
TechnicolorHijack,200,18,1,0,0
TechnicolorHijack,200,19,1,0,0
TechnicolorHijack,250,15,3,0,0
TechnicolorHijack,250,16,3,0,0
TechnicolorHijack,250,17,3,0,0
TechnicolorHijack,250,18,1,0,0
TechnicolorHijack,250,19,1,0,0
TechnicolorMuseum,50,24,5,0,0
TechnicolorMuseum,50,25,5,0,0
TechnicolorMuseum,50,26,5,0,0
TechnicolorMuseum,50,27,5,0,0
TechnicolorMuseum,50,28,5,0,0
TechnicolorMuseum,100,24,5,0,0
TechnicolorMuseum,100,25,5,0,0
TechnicolorMuseum,100,26,5,0,0
TechnicolorMuseum,100,27,5,0,0
TechnicolorMuseum,100,28,5,0,0
TechnicolorMuseum,150,24,5,0,0
TechnicolorMuseum,150,25,5,0,0
TechnicolorMuseum,150,26,5,0,0
TechnicolorMuseum,150,27,5,0,0
TechnicolorMuseum,150,28,5,0,0
TechnicolorMuseum,200,24,5,0,0
TechnicolorMuseum,200,25,5,0,0
TechnicolorMuseum,200,26,5,0,0
TechnicolorMuseum,200,27,5,0,0
TechnicolorMuseum,200,28,5,0,0
TechnicolorMuseum,250,24,5,0,0
TechnicolorMuseum,250,25,5,0,0
TechnicolorMuseum,250,26,5,0,0
TechnicolorMuseum,250,27,5,0,0
TechnicolorMuseum,250,28,5,0,0
ClassroomVideo,20,20,2,0,0
ClassroomVideo,20,21,4,0,0
ClassroomVideo,20,22,2,0,0
ClassroomVideo,20,23,2,4,0
ClassroomVideo,20,24,2,0,0
ClassroomVideo,40,20,2,0,0
ClassroomVideo,40,21,2,0,0
ClassroomVideo,40,22,2,0,0
ClassroomVideo,40,23,2,3,0
ClassroomVideo,40,24,2,0,0
ClassroomVideo,60,20,5,0,0
ClassroomVideo,60,21,5,0,0
ClassroomVideo,60,22,5,0,0
ClassroomVideo,60,23,5,0,0
ClassroomVideo,60,24,5,0,0
ClassroomVideo,80,20,5,0,0
ClassroomVideo,80,21,5,0,0
ClassroomVideo,80,22,5,0,0
ClassroomVideo,80,23,5,0,0
ClassroomVideo,80,24,5,0,0
ClassroomVideo,100,20,5,0,0
ClassroomVideo,100,21,5,0,0
ClassroomVideo,100,22,1,0,0
ClassroomVideo,100,23,5,0,0
ClassroomVideo,100,24,5,0,0
TechnicolorHijack,50,15,3,0,0
TechnicolorHijack,50,16,3,0,0
TechnicolorHijack,50,17,5,0,0
TechnicolorHijack,50,18,1,0,0
TechnicolorHijack,50,19,1,0,0
TechnicolorHijack,100,15,3,0,0
TechnicolorHijack,100,16,3,0,0
TechnicolorHijack,100,17,3,0,0
TechnicolorHijack,100,18,1,0,0
TechnicolorHijack,100,19,1,0,0
TechnicolorHijack,150,15,4,0,0
TechnicolorHijack,150,16,3,0,0
TechnicolorHijack,150,17,3,0,0
TechnicolorHijack,150,18,1,0,0
TechnicolorHijack,150,19,1,0,0
TechnicolorHijack,200,15,3,0,0
TechnicolorHijack,200,16,3,0,0
TechnicolorHijack,200,17,3,0,0
TechnicolorHijack,200,18,1,0,0
TechnicolorHijack,200,19,1,0,0
TechnicolorHijack,250,15,3,0,0
TechnicolorHijack,250,16,3,0,0
TechnicolorHijack,250,17,3,0,0
TechnicolorHijack,250,18,1,0,0
TechnicolorHijack,250,19,1,0,0
TechnicolorMuseum,50,24,5,0,0
TechnicolorMuseum,50,25,5,0,0
TechnicolorMuseum,50,26,5,0,0
TechnicolorMuseum,50,27,5,0,0
TechnicolorMuseum,50,28,5,0,0
TechnicolorMuseum,100,24,5,0,0
TechnicolorMuseum,100,25,5,0,0
TechnicolorMuseum,100,26,5,0,0
TechnicolorMuseum,100,27,5,0,0
TechnicolorMuseum,100,28,5,0,0
TechnicolorMuseum,150,24,5,0,0
TechnicolorMuseum,150,25,5,0,0
TechnicolorMuseum,150,26,5,0,0
TechnicolorMuseum,150,27,5,0,0
TechnicolorMuseum,150,28,5,0,0
TechnicolorMuseum,200,24,5,0,0
TechnicolorMuseum,200,25,5,0,0
TechnicolorMuseum,200,26,5,0,0
TechnicolorMuseum,200,27,5,0,0
TechnicolorMuseum,200,28,5,0,0
TechnicolorMuseum,250,24,5,0,0
TechnicolorMuseum,250,25,5,0,0
TechnicolorMuseum,250,26,5,0,0
TechnicolorMuseum,250,27,5,0,0
TechnicolorMuseum,250,28,5,0,0
ClassroomVideo,20,20,2,0,0
ClassroomVideo,20,21,4,0,0
ClassroomVideo,20,22,2,0,0
ClassroomVideo,20,23,2,4,0
ClassroomVideo,20,24,2,0,0
ClassroomVideo,40,20,2,0,0
ClassroomVideo,40,21,2,0,0
ClassroomVideo,40,22,2,0,0
ClassroomVideo,40,23,2,3,0
ClassroomVideo,40,24,2,0,0
ClassroomVideo,60,20,5,0,0
ClassroomVideo,60,21,5,0,0
ClassroomVideo,60,22,5,0,0
ClassroomVideo,60,23,5,0,0
ClassroomVideo,60,24,5,0,0
ClassroomVideo,80,20,5,0,0
ClassroomVideo,80,21,5,0,0
ClassroomVideo,80,22,5,0,0
ClassroomVideo,80,23,5,0,0
ClassroomVideo,80,24,5,0,0
ClassroomVideo,100,20,5,0,0
ClassroomVideo,100,21,5,0,0
ClassroomVideo,100,22,1,0,0
ClassroomVideo,100,23,5,0,0
ClassroomVideo,100,24,5,0,0
TechnicolorHijack,50,15,3,0,0
TechnicolorHijack,50,16,3,0,0
TechnicolorHijack,50,17,5,0,0
TechnicolorHijack,50,18,1,0,0
TechnicolorHijack,50,19,1,0,0
TechnicolorHijack,100,15,3,0,0
TechnicolorHijack,100,16,3,0,0
TechnicolorHijack,100,17,3,0,0
TechnicolorHijack,100,18,1,0,0
TechnicolorHijack,100,19,1,0,0
